location,Basel,Basel,Basel
lat,47.75000,47.75000,47.75000
lon,7.50000,7.50000,7.50000
asl,363.653,363.653,363.653
variable,Temperature,Temperature,Temperature
unit,°F,°F,°F
level,2 m elevation corrected,2 m elevation corrected,2 m elevation corrected
resolution,daily,daily,daily
aggregation,Maximum,Minimum,Mean
timestamp,Basel Temperature [2 m elevation corrected],Basel Temperature [2 m elevation corrected],Basel Temperature [2 m elevation corrected]
20230319T0000,56.73244,43.50244,50.091946
20230320T0000,56.73244,36.806442,47.293686
20230321T0000,61.03444,36.82444,50.913944
20230322T0000,66.72244,41.68444,56.530685
20230323T0000,61.790443,54.53644,57.846943
20230324T0000,58.35244,45.03244,52.462692
20230325T0000,54.66244,45.716442,49.5347
20230326T0000,54.680443,43.41244,47.190937
20230327T0000,45.14044,30.146442,39.93469
20230328T0000,51.87244,28.67044,45.468937
20230329T0000,67.47844,46.40044,58.108692
20230330T0000,62.006443,52.16044,56.63119
20230331T0000,58.19044,47.53444,52.307438
20230401T0000,52.39444,44.87044,48.138187
20230402T0000,53.636444,40.76644,47.889194
20230403T0000,46.778442,30.81244,40.640438
20230404T0000,49.568443,29.696442,39.234188
20230405T0000,51.386444,28.634441,40.265446
20230406T0000,55.07644,28.256441,47.00644
20230407T0000,48.86644,41.64844,44.507442
20230408T0000,53.65444,38.174442,47.004185
20230409T0000,59.612442,37.13044,47.995693
20230410T0000,63.500443,36.26644,55.550446
20230411T0000,56.42644,46.616444,51.02045
20230412T0000,56.84044,42.458443,49.603695
20230413T0000,49.40644,36.17644,44.259186
20230414T0000,57.542442,35.81644,47.71744
20230415T0000,55.00444,43.82644,49.275196
20230416T0000,50.306442,46.382442,47.81494
20230417T0000,56.876442,45.59044,50.102448
20230418T0000,60.36844,43.610443,50.832195
20230419T0000,56.28244,40.53244,49.904446
20230420T0000,48.70444,36.73444,43.60219
20230421T0000,55.94044,37.112442,48.91519
20230422T0000,65.39044,43.71844,56.158688
20230423T0000,67.01044,49.550438,56.16994
20230424T0000,55.43644,43.32244,50.349945
20230425T0000,52.376442,38.840443,46.460438
20230426T0000,59.07244,39.326443,50.685947
20230427T0000,66.290436,47.354443,57.96994
20230428T0000,65.73244,54.93244,59.91994
20230429T0000,67.40644,48.758442,58.384693
20230430T0000,64.74244,50.50444,58.144688
20230501T0000,60.980442,48.07444,55.123688
20230502T0000,62.708443,42.99844,54.306187
20230503T0000,69.134445,44.348442,56.31544
20230504T0000,76.17244,45.57244,63.959427
20230505T0000,72.42844,54.39244,62.379955
20230506T0000,72.662445,52.75444,62.31244
20230507T0000,68.57645,53.42044,61.26619
20230508T0000,66.48844,53.834442,60.70294
20230509T0000,68.486435,54.64444,60.240185
20230510T0000,59.846443,51.78244,55.77019
20230511T0000,58.29844,51.11644,54.339935
20230512T0000,62.258442,50.91844,56.451187
20230513T0000,60.31444,50.09044,55.832447
20230514T0000,62.97844,49.388443,55.461945
20230515T0000,62.72644,50.27044,56.19545
20230516T0000,54.374443,45.53644,51.44194
20230517T0000,58.568443,42.47644,51.51695
20230518T0000,61.844444,45.320442,55.37045
20230519T0000,61.44844,50.522438,57.12169
20230520T0000,65.80444,54.230442,59.79994
20230521T0000,75.938446,53.99644,65.32445
20230522T0000,78.96244,58.96444,68.64243
20230523T0000,70.50244,53.97844,63.43218
20230524T0000,62.132442,49.67644,55.77769
20230525T0000,69.152435,51.22444,60.18169
20230526T0000,75.65044,52.124443,64.57219
20230527T0000,78.54844,50.702442,65.474434
20230528T0000,79.052444,50.19844,65.6942
